empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
VONG|28|NASDAQ|2020|02|10|15|30|68100|193.929993|191.289993|193.899994|191.289993|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|29|NASDAQ|2020|02|07|15|30|75500|192.869995|191.529999|192.009995|192.309998|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|30|NASDAQ|2020|02|06|15|30|309200|192.899994|191.740005|192.789993|192.369995|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|31|NASDAQ|2020|02|05|15|30|163800|193.020004|190.619995|191.779999|193.020004|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|32|NASDAQ|2020|02|04|15|30|111500|191.25|189.309998|190.759995|189.630005|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|33|NASDAQ|2020|02|03|15|30|196900|187.779999|185.639999|187.169998|185.639999|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|34|NASDAQ|2020|01|31|15|30|192800|188.639999|184.440002|184.860001|188.639999|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|35|NASDAQ|2020|01|30|15|30|58900|188.389999|186.270004|188.389999|186.820007|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|36|NASDAQ|2020|01|29|15|30|119300|189.110001|187.320007|187.869995|188.619995|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|37|NASDAQ|2020|01|28|15|30|65400|187.919998|185.800003|187.570007|186.289993|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|38|NASDAQ|2020|01|27|15|30|83300|186|184.119995|185.080002|185.020004|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|39|NASDAQ|2020|01|24|15|30|78700|190.970001|187.699997|188.380005|190.880005|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|40|NASDAQ|2020|01|23|15|30|58500|190.210007|188.940002|190.160004|189.710007|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|41|NASDAQ|2020|01|22|15|30|88700|191|189.75|189.759995|190.5|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|42|NASDAQ|2020|01|21|15|30|68100|190.179993|189.229996|189.75|189.389999|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|43|NASDAQ|2020|01|17|15|30|84400|189.789993|189.020004|189.639999|189.699997|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|44|NASDAQ|2020|01|16|15|30|61800|189.070007|187.929993|189.070007|188.220001|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|45|NASDAQ|2020|01|15|15|30|55200|187.860001|186.690002|187.339996|186.690002|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|46|NASDAQ|2020|01|14|15|30|78900|187.449997|186.350006|186.470001|186.369995|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|47|NASDAQ|2020|01|13|15|30|115800|187.259995|185.979996|187.259995|186.289993|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|48|NASDAQ|2020|01|10|15|30|92700|186.589996|185.240005|185.589996|186.589996|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|49|NASDAQ|2020|01|09|15|30|60300|186.070007|185.25|185.940002|185.580002|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|50|NASDAQ|2020|01|08|15|30|86500|185.059998|182.820007|184.25|182.899994|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|51|NASDAQ|2020|01|07|15|30|37800|183.320007|182.580002|182.910004|183.190002|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|52|NASDAQ|2020|01|06|15|30|122800|183.240005|180.899994|183.240005|180.899994|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|53|NASDAQ|2020|01|03|15|30|86000|182.929993|181.199997|182.160004|181.199997|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|54|NASDAQ|2020|01|02|15|30|69600|183.399994|181.779999|183.399994|182.149994|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|55|NASDAQ|2019|12|31|15|30|67900|180.970001|179.960007|180.929993|180.240005|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|56|NASDAQ|2019|12|30|15|30|58500|181.919998|179.940002|180.5|181.919998|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|57|NASDAQ|2019|12|27|15|30|60700|182.559998|181.399994|181.830002|182.559998|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|58|NASDAQ|2019|12|26|15|30|42000|181.770004|180.899994|181.770004|180.899994|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|59|NASDAQ|2019|12|24|15|30|18000|180.75|180.289993|180.470001|180.75|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|60|NASDAQ|2019|12|23|15|30|75200|180.809998|180.410004|180.600006|180.75|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|61|NASDAQ|2019|12|20|15|30|90900|180.380005|179.800003|180.179993|180|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|62|NASDAQ|2019|12|19|15|30|53000|179.419998|178.350006|179.419998|178.479996|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|63|NASDAQ|2019|12|18|15|30|51700|178.75|178.259995|178.320007|178.509995|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|64|NASDAQ|2019|12|17|15|30|47000|178.539993|177.940002|178.110001|178.539993|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|65|NASDAQ|2019|12|16|15|30|132400|178.509995|177.619995|178.119995|177.619995|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|66|NASDAQ|2019|12|13|15|30|144000|177.550003|176.389999|177.179993|176.639999|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|67|NASDAQ|2019|12|12|15|30|81200|177.199997|175.330002|176.720001|175.559998|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|68|NASDAQ|2019|12|11|15|30|56300|175.809998|175.020004|175.740005|175.259995|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|69|NASDAQ|2019|12|10|15|30|47900|175.729996|174.830002|175.080002|175.449997|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|70|NASDAQ|2019|12|09|15|30|48800|176.149994|175.220001|175.270004|175.759995|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|71|NASDAQ|2019|12|06|15|30|93400|176.110001|175.529999|175.940002|175.729996|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|72|NASDAQ|2019|12|05|15|30|69300|174.570007|173.740005|174.490005|174.570007|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|73|NASDAQ|2019|12|04|15|30|71400|174.600006|173.889999|174.220001|174.190002|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|74|NASDAQ|2019|12|03|15|30|66700|173.360001|171.809998|173.350006|172.25|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|75|NASDAQ|2019|12|02|15|30|48300|176.429993|173.740005|174.339996|176.429993|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|76|NASDAQ|2019|11|29|15|30|21200|176.779999|176.130005|176.130005|176.580002|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|77|NASDAQ|2019|11|27|15|30|65500|176.899994|176.179993|176.830002|176.419998|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|78|NASDAQ|2019|11|26|15|30|65200|176.130005|175.380005|175.860001|175.380005|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|79|NASDAQ|2019|11|25|15|30|95800|175.259995|174.179993|175.240005|174.179993|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|80|NASDAQ|2019|11|22|15|30|32600|173.800003|172.869995|173.570007|173.800003|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|81|NASDAQ|2019|11|21|15|30|38000|174.080002|173.080002|173.360001|174.080002|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|82|NASDAQ|2019|11|20|15|30|67300|174.809998|172.910004|173.979996|174.210007|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|83|NASDAQ|2019|11|19|15|30|199300|174.860001|174.009995|174.460007|174.820007|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|84|NASDAQ|2019|11|18|15|30|44200|174.369995|173.580002|174.210007|173.869995|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|85|NASDAQ|2019|11|15|15|30|31000|173.940002|172.889999|173.940002|173.210007|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|86|NASDAQ|2019|11|14|15|30|33400|172.440002|171.490005|172.320007|171.789993|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|87|NASDAQ|2019|11|13|15|30|25400|172.160004|171.279999|171.979996|171.279999|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|88|NASDAQ|2019|11|12|15|30|74100|172.220001|171.399994|171.669998|171.399994|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|89|NASDAQ|2019|11|11|15|30|39200|171.25|170.440002|171.199997|170.449997|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|90|NASDAQ|2019|11|08|15|30|102600|171.210007|170.330002|171.169998|170.419998|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|91|NASDAQ|2019|11|07|15|30|48300|171.410004|170.289993|170.559998|170.740005|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|92|NASDAQ|2019|11|06|15|30|53900|170.020004|169.270004|170.020004|169.910004|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|93|NASDAQ|2019|11|05|15|30|268200|170.850006|169.539993|169.860001|170.779999|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|94|NASDAQ|2019|11|04|15|30|42500|171.100006|170.279999|170.360001|171.089996|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|95|NASDAQ|2019|11|01|14|30|76700|170.149994|169.440002|170.130005|169.550003|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|96|NASDAQ|2019|10|31|14|30|96000|169.490005|168.029999|168.639999|169.220001|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|97|NASDAQ|2019|10|30|14|30|36200|169.190002|167.630005|169.149994|168.429993|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|98|NASDAQ|2019|10|29|14|30|24100|169.070007|168.130005|168.139999|168.559998|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|99|NASDAQ|2019|10|28|14|30|33500|168.929993|168.259995|168.710007|168.259995|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|100|NASDAQ|2019|10|25|15|30|45100|167.600006|165.990005|167.410004|165.990005|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|101|NASDAQ|2019|10|24|15|30|38000|166.740005|165.940002|166.740005|166.389999|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|102|NASDAQ|2019|10|23|15|30|63700|165.529999|164.740005|165.470001|164.949997|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|103|NASDAQ|2019|10|22|15|30|34900|167|164.990005|165.009995|166.899994|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|104|NASDAQ|2019|10|21|15|30|35800|166.619995|165.880005|166.600006|166.360001|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|105|NASDAQ|2019|10|18|15|30|36600|166.669998|164.919998|165.610001|166.669998|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|106|NASDAQ|2019|10|17|15|30|42900|167.300003|166.429993|166.779999|166.839996|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|107|NASDAQ|2019|10|16|15|30|48300|166.410004|165.789993|166.350006|166.309998|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|108|NASDAQ|2019|10|15|15|30|31400|167.210007|165.75|166.779999|165.839996|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|109|NASDAQ|2019|10|14|15|30|33600|165.699997|164.410004|165.139999|164.929993|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|110|NASDAQ|2019|10|11|15|30|65400|166.380005|164.869995|165|164.869995|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|111|NASDAQ|2019|10|10|15|30|50400|163.869995|162.240005|163.410004|162.240005|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|112|NASDAQ|2019|10|09|15|30|32400|162.929993|161.759995|162.410004|162|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|113|NASDAQ|2019|10|08|15|30|84900|162.630005|160.610001|160.610001|162.229996|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|114|NASDAQ|2019|10|07|15|30|59200|164.259995|163.029999|163.220001|163.360001|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|115|NASDAQ|2019|10|04|15|30|75100|163.880005|162.009995|163.880005|162.009995|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|116|NASDAQ|2019|10|03|15|30|205900|161.479996|157.949997|161.479996|159.679993|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|117|NASDAQ|2019|10|02|15|30|118300|161.369995|158.830002|159.759995|161.369995|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
VONG|118|NASDAQ|2019|10|01|15|30|91200|165.100006|162.350006|162.520004|164.690002|exchangetradedfund|-|-|-|-|1.14|-|usa|-|-|-|-|financial|-|-
