empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TIVO|0|NASDAQ|2020|03|04|15|30|1232100|7.78|7.25|7.54|7.57|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|1|NASDAQ|2020|03|03|15|30|1397300|7.78|7.26|7.47|7.64|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|2|NASDAQ|2020|03|02|15|30|1506400|7.69|7.36|7.66|7.58|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|3|NASDAQ|2020|02|28|15|30|2921400|7.66|7.07|7.57|7.5|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|4|NASDAQ|2020|02|27|15|30|3164000|8|7.71|7.73|7.84|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|5|NASDAQ|2020|02|26|15|30|1980600|8.11|7.92|8.09|8.03|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|6|NASDAQ|2020|02|25|15|30|1207800|8.56|7.94|7.99|8.54|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|7|NASDAQ|2020|02|24|15|30|2286700|8.94|8.48|8.48|8.64|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|8|NASDAQ|2020|02|21|15|30|2357600|8.93|8.72|8.82|8.87|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|9|NASDAQ|2020|02|20|15|30|3780200|9.05|8.41|9.01|8.52|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|10|NASDAQ|2020|02|19|15|30|5897700|8.52|7.13|8.49|7.24|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|11|NASDAQ|2020|02|18|15|30|984600|6.85|6.66|6.79|6.82|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|12|NASDAQ|2020|02|14|15|30|1344500|7.01|6.83|6.85|6.99|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|13|NASDAQ|2020|02|13|15|30|500600|7.11|6.95|6.96|7.06|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|14|NASDAQ|2020|02|12|15|30|1510500|7.17|6.93|7.12|7.13|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|15|NASDAQ|2020|02|11|15|30|1193800|7.04|6.88|7.02|6.88|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|16|NASDAQ|2020|02|10|15|30|702300|7.13|6.76|6.84|7.05|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|17|NASDAQ|2020|02|07|15|30|658600|7.24|7.06|7.1|7.06|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|18|NASDAQ|2020|02|06|15|30|828800|7.4|7.09|7.13|7.33|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|19|NASDAQ|2020|02|05|15|30|1211000|7.4|7.12|7.32|7.21|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|20|NASDAQ|2020|02|04|15|30|1593500|7.17|6.93|7.13|7.01|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|21|NASDAQ|2020|02|03|15|30|1702700|7.34|6.92|6.94|7.12|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|22|NASDAQ|2020|01|31|15|30|1256700|7.6|7.27|7.28|7.59|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|23|NASDAQ|2020|01|30|15|30|1034200|7.76|7.57|7.64|7.65|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|24|NASDAQ|2020|01|29|15|30|1577900|7.98|7.7|7.72|7.96|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|25|NASDAQ|2020|01|28|15|30|830800|8|7.85|7.95|7.89|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|26|NASDAQ|2020|01|27|15|30|1012800|8.02|7.82|7.82|7.92|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|27|NASDAQ|2020|01|24|15|30|1178500|8.37|8.06|8.08|8.35|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|28|NASDAQ|2020|01|23|15|30|974600|8.4|8.24|8.3|8.4|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|29|NASDAQ|2020|01|22|15|30|489200|8.6|8.43|8.45|8.57|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|30|NASDAQ|2020|01|21|15|30|802200|8.56|8.38|8.52|8.5|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|31|NASDAQ|2020|01|17|15|30|899100|8.59|8.46|8.51|8.49|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|32|NASDAQ|2020|01|16|15|30|463700|8.56|8.4|8.51|8.45|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|33|NASDAQ|2020|01|15|15|30|1281200|8.52|8.25|8.36|8.5|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|34|NASDAQ|2020|01|14|15|30|1390300|8.58|8.36|8.47|8.5|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|35|NASDAQ|2020|01|13|15|30|816300|8.59|8.29|8.55|8.3|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|36|NASDAQ|2020|01|10|15|30|993700|8.42|8.13|8.34|8.18|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|37|NASDAQ|2020|01|09|15|30|1148000|8.35|8.15|8.18|8.28|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|38|NASDAQ|2020|01|08|15|30|2339200|8.38|8.2|8.22|8.32|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|39|NASDAQ|2020|01|07|15|30|1885800|8.32|8.19|8.26|8.19|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
TIVO|40|NASDAQ|2020|01|06|15|30|3203800|8.34|8.15|8.22|8.2|catvsystems|0.3|1.2|1.2|-|4.55|1450|usa|0.92|0.6|9.18|Feb 18 AMC|services|95.5|893.789978
