empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
DLBS|0|NASDAQ|2020|03|06|15|30|110000|4.26|2.1|3.25|2.26|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|1|NASDAQ|2020|03|05|15|30|30100|3.23|2.88|3.14|3.06|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|2|NASDAQ|2020|03|04|15|30|15800|3.68|3.06|3.68|3.24|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|3|NASDAQ|2020|03|03|15|30|84300|3.62|2.24|3.24|3.44|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|4|NASDAQ|2020|03|02|15|30|112600|3.34|2.5|3.28|2.71|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|5|NASDAQ|2020|02|28|15|30|123600|4.05|2.65|2.79|3.75|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|6|NASDAQ|2020|02|27|15|30|52600|4.51|3.69|4.16|4.04|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|7|NASDAQ|2020|02|26|15|30|28800|5.24|4.42|4.83|5.04|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|8|NASDAQ|2020|02|25|15|30|36900|5.16|4.46|4.66|5.16|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|9|NASDAQ|2020|02|24|15|30|50800|5.46|4.88|5.13|5.32|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|10|NASDAQ|2020|02|21|15|30|65200|6.19|5.71|6|6.17|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|11|NASDAQ|2020|02|20|15|30|20400|6.96|6.23|6.55|6.96|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|12|NASDAQ|2020|02|19|15|30|1300|7.1|6.98|7.01|7.1|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|13|NASDAQ|2020|02|18|15|30|8400|7.19|6.89|7.04|7.19|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|14|NASDAQ|2020|02|14|15|30|4000|7.48|7.04|7.44|7.48|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|15|NASDAQ|2020|02|13|15|30|1600|7.61|7.58|7.61|7.59|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|16|NASDAQ|2020|02|12|15|30|1700|7.77|7.7|7.75|7.72|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|17|NASDAQ|2020|02|11|15|30|3000|7.41|7.27|7.41|7.27|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|18|NASDAQ|2020|02|10|15|30|6400|7.17|6.95|7.16|7.07|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|19|NASDAQ|2020|02|07|15|30|2800|7.5|7.27|7.39|7.5|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|20|NASDAQ|2020|02|06|15|30|5800|8.1|7.86|7.91|8.1|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|21|NASDAQ|2020|02|05|15|30|6400|8.13|7.76|8.13|7.76|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|22|NASDAQ|2020|02|04|15|30|12600|7.65|7.15|7.45|7.15|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|23|NASDAQ|2020|02|03|15|30|1300|7.04|6.69|6.7|7.04|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|24|NASDAQ|2020|01|31|15|30|21500|7.07|6.34|6.65|7.07|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|25|NASDAQ|2020|01|30|15|30|6000|7.34|7|7.33|7.15|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|26|NASDAQ|2020|01|29|15|30|9200|7.94|7.42|7.44|7.94|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|27|NASDAQ|2020|01|28|15|30|15200|8.05|7.75|8|7.75|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|28|NASDAQ|2020|01|27|15|30|14100|8|7.53|7.61|7.69|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|29|NASDAQ|2020|01|24|15|30|5300|8.77|8.27|8.36|8.77|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|30|NASDAQ|2020|01|23|15|30|5000|9|8.67|8.85|8.93|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|31|NASDAQ|2020|01|22|15|30|1100|9.3|9.25|9.25|9.27|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|32|NASDAQ|2020|01|21|15|30|5900|9.77|9.37|9.39|9.77|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|33|NASDAQ|2020|01|17|15|30|2100|10.27|9.94|9.94|10.18|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|34|NASDAQ|2020|01|16|15|30|900|9.55|9.53|9.55|9.53|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|35|NASDAQ|2020|01|15|15|30|3300|9.72|9.34|9.34|9.72|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|36|NASDAQ|2020|01|14|15|30|2100|9.99|9.75|9.78|9.99|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|37|NASDAQ|2020|01|13|15|30|1600|10.13|9.98|9.98|10.1|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|38|NASDAQ|2020|01|10|15|30|3500|9.88|9.8|9.8|9.87|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|39|NASDAQ|2020|01|09|15|30|5500|10.73|10.28|10.28|10.73|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|40|NASDAQ|2020|01|08|15|30|1300|10.4|10.23|10.37|10.32|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|41|NASDAQ|2020|01|07|15|30|3600|10.04|9.81|9.97|9.81|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|42|NASDAQ|2020|01|06|15|30|700|9.76|9.31|9.76|9.43|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|43|NASDAQ|2020|01|03|15|30|2500|10.09|9.24|9.55|10.06|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|44|NASDAQ|2020|01|02|15|30|2900|10.64|9.93|10.4|10.38|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|45|NASDAQ|2019|12|31|15|30|4100|10.91|10.56|10.9|10.89|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|46|NASDAQ|2019|12|30|15|30|1400|10.84|10.41|10.46|10.71|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|47|NASDAQ|2019|12|27|15|30|600|10.17|10.06|10.17|10.07|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|48|NASDAQ|2019|12|26|15|30|300|10.33|10.33|10.33|10.33|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|49|NASDAQ|2019|12|24|15|30|2000|10.8|10.41|10.51|10.8|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|50|NASDAQ|2019|12|23|15|30|4500|10.74|10.47|10.68|10.58|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|51|NASDAQ|2019|12|20|15|30|3000|10.71|10.54|10.54|10.55|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|52|NASDAQ|2019|12|19|15|30|1500|10.75|10.51|10.57|10.75|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|53|NASDAQ|2019|12|18|15|30|3800|10.71|10.41|10.71|10.41|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|54|NASDAQ|2019|12|17|15|30|4300|10.24|10.15|10.24|10.22|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|55|NASDAQ|2019|12|16|15|30|12700|10.22|9.77|10.16|9.79|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|56|NASDAQ|2019|12|13|15|30|3600|10.22|9.6|9.6|10.22|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|57|NASDAQ|2019|12|12|15|30|4600|10.45|9.42|10.35|9.42|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|58|NASDAQ|2019|12|11|15|30|2400|9.66|9.21|9.32|9.66|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|59|NASDAQ|2019|12|10|15|30|2900|9.89|9.67|9.78|9.87|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|60|NASDAQ|2019|12|09|15|30|1700|9.72|9.65|9.72|9.65|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|61|NASDAQ|2019|12|06|15|30|3100|10|9.72|9.81|9.93|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|62|NASDAQ|2019|12|05|15|30|2000|9.73|9.48|9.51|9.58|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|63|NASDAQ|2019|12|04|15|30|2300|9.43|8.95|9.25|8.95|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|64|NASDAQ|2019|12|03|15|30|7100|9.33|8.48|8.73|9.24|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|65|NASDAQ|2019|12|02|15|30|13800|9.95|9.64|9.82|9.95|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|66|NASDAQ|2019|11|29|15|30|700|9.27|9.2|9.2|9.27|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|67|NASDAQ|2019|11|27|15|30|800|9.11|9.04|9.04|9.09|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|68|NASDAQ|2019|11|26|15|30|1800|8.84|8.7|8.78|8.7|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|69|NASDAQ|2019|11|25|15|30|5900|9.05|8.87|9.03|8.92|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|70|NASDAQ|2019|11|22|15|30|800|9.17|9.12|9.13|9.15|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|71|NASDAQ|2019|11|21|15|30|3900|9.31|9.01|9.21|9.2|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|72|NASDAQ|2019|11|20|15|30|1200|9.21|8.85|8.85|9.21|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|73|NASDAQ|2019|11|19|15|30|600|9.48|9.4|9.4|9.45|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|74|NASDAQ|2019|11|18|15|30|3200|9.78|9.65|9.76|9.78|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|75|NASDAQ|2019|11|15|15|30|3000|10.04|9.84|9.95|10.04|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
DLBS|76|NASDAQ|2019|11|14|15|30|2200|10.29|9.67|9.87|9.86|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
