empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
LECO|0|NASDAQ|2020|03|25|14|30|673800|72|63.990002|68.599998|65.080002|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|1|NASDAQ|2020|03|24|14|30|736000|65.400002|61.509998|64.610001|62.950001|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|2|NASDAQ|2020|03|23|14|30|796500|65.830002|59.299999|59.990002|64.660004|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|3|NASDAQ|2020|03|20|14|30|836700|69.150002|64.239998|64.790001|68.169998|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|4|NASDAQ|2020|03|19|14|30|679500|72.989998|66.959999|68.059998|69.610001|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|5|NASDAQ|2020|03|18|14|30|824000|71.800003|65.400002|70.419998|67|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|6|NASDAQ|2020|03|17|14|30|679200|74.860001|68.449997|73.099998|70.360001|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|7|NASDAQ|2020|03|16|14|30|820800|77.970001|68.529999|69.089996|73.419998|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|8|NASDAQ|2020|03|13|14|30|842400|76.739998|71.32|76.169998|72.75|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|9|NASDAQ|2020|03|12|14|30|691900|70.959999|64.18|68.839996|66.830002|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|10|NASDAQ|2020|03|11|14|30|385200|75.449997|71.410004|71.900002|74.300003|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|11|NASDAQ|2020|03|10|14|30|656700|77|72.650002|76.82|74.309998|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|12|NASDAQ|2020|03|09|14|30|724400|78.980003|70.010002|72.080002|76.230003|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|13|NASDAQ|2020|03|06|15|30|292900|82.400002|79.309998|81.449997|79.919998|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|14|NASDAQ|2020|03|05|15|30|318400|84.989998|81.980003|82.629997|84.209999|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|15|NASDAQ|2020|03|04|15|30|402000|86.68|84.690002|86.309998|86.68|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|16|NASDAQ|2020|03|03|15|30|630800|87.040001|83.050003|84.599998|84.970001|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|17|NASDAQ|2020|03|02|15|30|498900|85.339996|81.760002|85.110001|82.629997|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|18|NASDAQ|2020|02|28|15|30|665200|82.089996|79.32|81.889999|79.809998|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|19|NASDAQ|2020|02|27|15|30|645100|85.150002|80.010002|82.18|81.160004|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|20|NASDAQ|2020|02|26|15|30|464600|85.459999|82.949997|83.040001|83.980003|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|21|NASDAQ|2020|02|25|15|30|425900|86.32|83.160004|83.260002|85.989998|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|22|NASDAQ|2020|02|24|15|30|484400|87.139999|84.510002|85.57|85.050003|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|23|NASDAQ|2020|02|21|15|30|339100|89.610001|87.900002|88.139999|89.400002|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|24|NASDAQ|2020|02|20|15|30|323700|90.720001|89.239998|89.75|89.57|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|25|NASDAQ|2020|02|19|15|30|684800|92.089996|88.849998|89.629997|91.870003|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|26|NASDAQ|2020|02|18|15|30|317300|92.400002|90.519997|91.309998|91.870003|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|27|NASDAQ|2020|02|14|15|30|323600|94.709999|92.339996|92.580002|93.410004|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|28|NASDAQ|2020|02|13|15|30|740600|98.190002|92.949997|93.080002|97.589996|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|29|NASDAQ|2020|02|12|15|30|481100|95.18|93.550003|94.699997|94.629997|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|30|NASDAQ|2020|02|11|15|30|332900|94.370003|93.07|93.809998|93.07|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|31|NASDAQ|2020|02|10|15|30|316100|92.580002|91.419998|92.529999|91.870003|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
LECO|32|NASDAQ|2020|02|07|15|30|250700|93.029999|91.800003|92.239998|92.690002|smalltoolsaccessories|1.5|1.2|1.9|14.81|2.83|11000|usa|0.91|0.87|14.44|Feb 13 BMO|industrialgoods|74.900002|4330
