empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SENEA|0|NASDAQ|2020|03|19|14|30|39200|35.75|28.02|35.540001|28.02|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|1|NASDAQ|2020|03|18|14|30|43600|32.110001|28.01|28.01|31.9|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|2|NASDAQ|2020|03|17|14|30|54000|33.389999|28.74|32.82|29.120001|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|3|NASDAQ|2020|03|16|14|30|52300|32.34|25.040001|28.610001|31.299999|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|4|NASDAQ|2020|03|13|14|30|44100|34.5|29.549999|33.790001|29.75|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|5|NASDAQ|2020|03|12|14|30|46200|32.450001|29|29.57|31.01|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|6|NASDAQ|2020|03|11|14|30|18100|32.619999|31.02|32.5|32.330002|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|7|NASDAQ|2020|03|10|14|30|25600|35.009998|31.639999|32.77|34.759998|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|8|NASDAQ|2020|03|09|14|30|20300|35|32.540001|33.529999|34.810001|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|9|NASDAQ|2020|03|06|15|30|34800|36.529999|34.130001|36.360001|34.91|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|10|NASDAQ|2020|03|05|15|30|36200|37.09|34.419998|35.689999|36.900002|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|11|NASDAQ|2020|03|04|15|30|24300|37.959999|36.650002|37.509998|37.220001|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|12|NASDAQ|2020|03|03|15|30|29400|38.639999|36.240002|36.66|37.880001|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|13|NASDAQ|2020|03|02|15|30|45500|37.93|34.720001|37.810001|34.720001|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|14|NASDAQ|2020|02|28|15|30|38000|35.150002|32.099998|34.720001|33.41|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|15|NASDAQ|2020|02|27|15|30|32300|34.970001|31.75|34.27|32.240002|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|16|NASDAQ|2020|02|26|15|30|34900|35.110001|32.299999|32.779999|34.830002|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|17|NASDAQ|2020|02|25|15|30|28000|38.169998|34.299999|34.700001|37.23|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|18|NASDAQ|2020|02|24|15|30|20400|39.25|37.349998|37.349998|39.009998|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|19|NASDAQ|2020|02|21|15|30|9300|39.830002|39.240002|39.650002|39.709999|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|20|NASDAQ|2020|02|20|15|30|25900|39.740002|38.290001|39.490002|39.529999|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|21|NASDAQ|2020|02|19|15|30|12800|40|39.279999|39.849998|40|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|22|NASDAQ|2020|02|18|15|30|36200|40.099998|38.130001|39.91|40.099998|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|23|NASDAQ|2020|02|14|15|30|20800|40.5|38.98|40.119999|40.349998|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|24|NASDAQ|2020|02|13|15|30|18600|40.490002|39.790001|40.34|39.799999|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|25|NASDAQ|2020|02|12|15|30|20300|40.380001|38.639999|39.830002|38.869999|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|26|NASDAQ|2020|02|11|15|30|8200|39.23|38.150002|38.720001|38.860001|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|27|NASDAQ|2020|02|10|15|30|23500|39.57|37.200001|37.939999|39.459999|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|28|NASDAQ|2020|02|07|15|30|24900|40.099998|37.830002|38.720001|39.830002|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|29|NASDAQ|2020|02|06|15|30|29500|40.5|37.419998|39.84|37.419998|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|30|NASDAQ|2020|02|05|15|30|16500|39.130001|34.759998|36.889999|37.209999|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|31|NASDAQ|2020|02|04|15|30|17800|39.599998|37.669998|37.779999|39.279999|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
SENEA|32|NASDAQ|2020|02|03|15|30|20000|39.450001|37.759998|39.43|39.450001|processedpackagedgoods|0.1|0.6|3.5|14.61|-|3700|usa|0.6|0.58|-|Jan 31 AMC|consumergoods|64.099998|251.389999
